epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,372.772,2.4642,1.81367,1.02477,0.56734,0.56111,0.485,0.15722,1.90429,5.01904,0.87536,0.0017228,0.0017228,0.0017228
44,381.119,2.46183,1.873,1.03695,0.40823,0.46667,0.34355,0.09805,1.99537,2.36015,0.90067,0.0017162,0.0017162,0.0017162
45,388.093,2.48578,1.82176,1.03612,0.477,0.47778,0.39575,0.11953,1.91813,4.92842,0.86917,0.0017096,0.0017096,0.0017096
46,393.725,2.47801,1.85026,1.04262,0.43684,0.46667,0.37322,0.12351,1.84247,4.15976,0.85426,0.001703,0.001703,0.001703
47,399.244,2.37676,1.71092,1.01422,0.43136,0.51667,0.39744,0.12068,1.93211,2.22611,0.88146,0.0016964,0.0016964,0.0016964
48,404.608,2.47878,1.77174,1.05067,0.60289,0.49444,0.46506,0.12117,2.052,2.90269,0.93788,0.0016898,0.0016898,0.0016898
49,409.762,2.40253,1.6874,1.03268,0.38964,0.49444,0.36569,0.09938,1.94742,2.17194,0.88692,0.0016832,0.0016832,0.0016832
50,414.956,2.3962,1.78008,1.00338,0.43273,0.44444,0.34149,0.10352,2.05744,3.39842,0.90708,0.0016766,0.0016766,0.0016766
51,420.332,2.39605,1.76308,1.04611,0.46344,0.50384,0.39339,0.11462,1.91445,3.53038,0.86971,0.00167,0.00167,0.00167
52,425.625,2.32434,1.69107,1.0421,0.41942,0.5,0.38988,0.13121,1.81837,6.48898,0.8574,0.0016634,0.0016634,0.0016634
53,431.392,2.33399,1.70235,1.03406,0.41185,0.45,0.34936,0.112,1.91188,2.72057,0.87915,0.0016568,0.0016568,0.0016568
54,437.204,2.43499,1.82819,1.02706,0.40787,0.44444,0.31055,0.08365,2.08235,2.41668,0.90173,0.0016502,0.0016502,0.0016502
55,443.122,2.33255,1.70056,1.00263,0.52855,0.53565,0.44832,0.14591,1.84167,2.85732,0.84507,0.0016436,0.0016436,0.0016436
56,448.819,2.39233,1.77807,1.02882,0.45158,0.52222,0.3907,0.11282,2.04233,2.84681,0.90494,0.001637,0.001637,0.001637
57,454.494,2.27549,1.65524,1.01576,0.54274,0.51667,0.44652,0.12518,1.90929,3.12977,0.87684,0.0016304,0.0016304,0.0016304
58,460.03,2.31732,1.65159,1.03877,0.60448,0.50096,0.47345,0.13151,1.89933,5.97424,0.86609,0.0016238,0.0016238,0.0016238
59,465.674,2.41712,1.66984,1.00349,0.4117,0.52097,0.35747,0.09322,1.89159,5.43461,0.85831,0.0016172,0.0016172,0.0016172
60,471.543,2.34591,1.69508,1.0314,0.52112,0.56667,0.45156,0.1183,1.91383,3.56203,0.87568,0.0016106,0.0016106,0.0016106
61,477.19,2.29455,1.66167,0.99323,0.46568,0.51111,0.3711,0.10199,1.91163,2.27618,0.86169,0.001604,0.001604,0.001604
