epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1613.36,1.74403,1.01326,1.0457,0.74397,0.77244,0.77641,0.35844,1.69969,1.22912,1.02092,0.0017294,0.0017294,0.0017294
43,1641.3,1.7514,1.06731,1.04656,0.78987,0.82475,0.8361,0.36006,1.68179,0.95955,1.02737,0.0017228,0.0017228,0.0017228
44,1669.37,1.72322,1.00378,1.04307,0.84325,0.77215,0.83278,0.36783,1.6772,0.94781,1.0172,0.0017162,0.0017162,0.0017162
45,1697.54,1.71354,0.99546,1.04371,0.78114,0.78059,0.77693,0.35099,1.74459,1.08885,1.04992,0.0017096,0.0017096,0.0017096
46,1725.83,1.74751,1.01334,1.0463,0.82344,0.75949,0.8104,0.36484,1.69004,1.15659,1.03446,0.001703,0.001703,0.001703
47,1753.85,1.75751,1.04598,1.06218,0.81199,0.76371,0.80833,0.36268,1.7379,1.02225,1.05538,0.0016964,0.0016964,0.0016964
48,1781.82,1.69142,0.98178,1.03648,0.80169,0.81013,0.84139,0.39035,1.698,0.91638,1.03843,0.0016898,0.0016898,0.0016898
49,1811.28,1.72352,1.01795,1.04228,0.80692,0.79354,0.80986,0.34964,1.75914,1.09046,1.03708,0.0016832,0.0016832,0.0016832
50,1839.26,1.72499,0.97575,1.04809,0.78839,0.827,0.81287,0.35012,1.71023,0.95887,1.0399,0.0016766,0.0016766,0.0016766
51,1867.15,1.68155,0.96598,1.0404,0.82727,0.80169,0.82808,0.38441,1.6774,0.9258,1.02287,0.00167,0.00167,0.00167
52,1895.08,1.6894,0.97719,1.04035,0.81767,0.79747,0.82672,0.38867,1.67752,0.92909,1.0289,0.0016634,0.0016634,0.0016634
53,1923.05,1.64631,0.96723,1.01123,0.78409,0.73553,0.77454,0.34987,1.70001,1.79241,1.0317,0.0016568,0.0016568,0.0016568
54,1950.98,1.69662,0.96053,1.03012,0.79066,0.79681,0.82527,0.36939,1.71447,1.03982,1.03761,0.0016502,0.0016502,0.0016502
55,1978.82,1.68583,0.97343,1.03052,0.84512,0.75105,0.81135,0.37093,1.73446,1.0032,1.02824,0.0016436,0.0016436,0.0016436
56,2006.78,1.65235,0.979,1.03024,0.83783,0.80657,0.85579,0.39931,1.69628,0.9279,1.03457,0.001637,0.001637,0.001637
57,2034.93,1.70967,0.97663,1.03025,0.85215,0.78903,0.81897,0.36061,1.702,0.93648,1.04668,0.0016304,0.0016304,0.0016304
58,2062.83,1.69573,0.95598,1.02624,0.82237,0.79325,0.82509,0.39097,1.70221,0.97214,1.02724,0.0016238,0.0016238,0.0016238
59,2090.78,1.66192,0.93768,1.02469,0.7852,0.80207,0.84006,0.39707,1.66,0.96487,1.02225,0.0016172,0.0016172,0.0016172
60,2118.57,1.66784,0.99612,1.04287,0.78693,0.81033,0.82197,0.39157,1.68702,0.97624,1.02482,0.0016106,0.0016106,0.0016106
61,2146.21,1.67696,0.96584,1.01778,0.82337,0.77215,0.79582,0.36826,1.71944,1.00281,1.03839,0.001604,0.001604,0.001604
62,2174.06,1.69394,0.97179,1.0213,0.81752,0.81013,0.83155,0.37573,1.67706,0.93956,1.02993,0.0015974,0.0015974,0.0015974
63,2202.12,1.65067,0.9532,1.02031,0.83458,0.78059,0.82566,0.37451,1.67664,1.03396,1.02274,0.0015908,0.0015908,0.0015908
64,2230.19,1.66965,0.95424,1.01696,0.82723,0.78794,0.79991,0.36712,1.68123,1.02184,1.03085,0.0015842,0.0015842,0.0015842
65,2258.21,1.67674,0.96331,1.01854,0.8147,0.82278,0.84146,0.39409,1.65494,0.97977,1.0215,0.0015776,0.0015776,0.0015776
66,2286.36,1.64554,0.9497,1.03019,0.80154,0.77637,0.82533,0.38722,1.69754,1.09256,1.05083,0.001571,0.001571,0.001571
67,2314.38,1.66853,0.95858,1.02417,0.83931,0.81013,0.83363,0.38515,1.67457,0.87202,1.02481,0.0015644,0.0015644,0.0015644
68,2342.37,1.64123,0.93717,1.00544,0.84948,0.78059,0.83028,0.38004,1.67364,1.01617,1.02481,0.0015578,0.0015578,0.0015578
69,2370.4,1.66458,0.9145,1.02268,0.77602,0.78903,0.80529,0.35572,1.79162,1.04756,1.04837,0.0015512,0.0015512,0.0015512
70,2398.28,1.64049,0.94192,1.00783,0.81384,0.75105,0.80414,0.38901,1.65107,1.08565,1.0205,0.0015446,0.0015446,0.0015446
71,2426.24,1.63834,0.92088,1.0292,0.84027,0.79909,0.82928,0.39023,1.69294,0.90919,1.02463,0.001538,0.001538,0.001538
72,2454.1,1.65743,0.94402,1.0049,0.77333,0.79325,0.78551,0.37708,1.64405,1.23229,1.02301,0.0015314,0.0015314,0.0015314
73,2481.98,1.64978,0.92272,1.02493,0.8485,0.80347,0.83664,0.38681,1.71481,0.88494,1.03435,0.0015248,0.0015248,0.0015248
74,2509.97,1.65594,0.92883,1.04559,0.82266,0.78295,0.83461,0.38197,1.6653,1.05039,1.03406,0.0015182,0.0015182,0.0015182
75,2537.91,1.62346,0.93293,1.01416,0.85127,0.78059,0.85006,0.40414,1.69063,0.9155,1.01949,0.0015116,0.0015116,0.0015116
76,2566.09,1.64298,0.93908,1.02566,0.79506,0.73663,0.80801,0.35661,1.7157,1.27619,1.04962,0.001505,0.001505,0.001505
77,2593.92,1.60381,0.90344,0.99837,0.85094,0.79486,0.82809,0.38,1.72756,1.09164,1.03539,0.0014984,0.0014984,0.0014984
78,2621.82,1.67796,0.92868,1.00628,0.83061,0.77215,0.83201,0.38345,1.6717,1.0073,1.02206,0.0014918,0.0014918,0.0014918
79,2649.68,1.67579,0.91403,1.01011,0.82241,0.8207,0.84643,0.389,1.66306,0.89113,1.02654,0.0014852,0.0014852,0.0014852
80,2677.54,1.67128,0.92988,1.02948,0.88655,0.83122,0.8605,0.39263,1.6448,0.89346,1.02807,0.0014786,0.0014786,0.0014786
81,2705.43,1.62512,0.90868,1.0066,0.79021,0.79747,0.80231,0.37782,1.66064,1.07956,1.01717,0.001472,0.001472,0.001472
82,2733.12,1.59609,0.89188,1.00124,0.83839,0.7661,0.83039,0.37483,1.72107,0.93427,1.02606,0.0014654,0.0014654,0.0014654
83,2761.26,1.65503,0.93466,1.03174,0.84939,0.78059,0.85152,0.38531,1.69996,0.91626,1.02778,0.0014588,0.0014588,0.0014588
84,2789.37,1.60511,0.87258,0.9851,0.85861,0.77637,0.83691,0.39528,1.66304,0.9029,1.02219,0.0014522,0.0014522,0.0014522
85,2817.33,1.60612,0.88082,1.00279,0.87906,0.81013,0.86023,0.40621,1.67287,0.86451,1.02202,0.0014456,0.0014456,0.0014456
86,2845.68,1.62608,0.91911,1.00946,0.82572,0.79325,0.83765,0.39072,1.67713,0.99759,1.02353,0.001439,0.001439,0.001439
87,2873.7,1.62355,0.89451,1.01094,0.82987,0.78209,0.83711,0.38809,1.71246,0.97189,1.0299,0.0014324,0.0014324,0.0014324
88,2901.72,1.63162,0.90255,1.00868,0.83924,0.79747,0.83332,0.41265,1.63722,0.92671,1.01479,0.0014258,0.0014258,0.0014258
